,interaction_name,pathway_name,ligand,receptor,agonist,antagonist,co_A_receptor,co_I_receptor,evidence,annotation
LAMC1_SV2B_1,lamc2 - sv2ba,LAMININ,lamc2,sv2ba,,,,,KEGG: mmu04512,ECM-Receptor
LAMC1_SV2B_2,lamc2 - sv2bb,LAMININ,lamc2,sv2bb,,,,,KEGG: mmu04512,ECM-Receptor
LAMA1_SV2C,lama1 - sv2ca,LAMININ,lama1,sv2ca,,,,,KEGG: mmu04512,ECM-Receptor
LAMA2_SV2C,lama2 - sv2ca,LAMININ,lama2,sv2ca,,,,,KEGG: mmu04512,ECM-Receptor
LAMA3_SV2C_1,lama3 - sv2ca,LAMININ,lama3,sv2ca,,,,,KEGG: mmu04512,ECM-Receptor
LAMA3_SV2C_2,si:ch211-241e1.3 - sv2ca,LAMININ,si:ch211-241e1.3,sv2ca,,,,,KEGG: mmu04512,ECM-Receptor
LAMA5_SV2C,lama5 - sv2ca,LAMININ,lama5,sv2ca,,,,,KEGG: mmu04512,ECM-Receptor
LAMB1_SV2C_1,lamb1a - sv2ca,LAMININ,lamb1a,sv2ca,,,,,KEGG: mmu04512,ECM-Receptor
LAMB1_SV2C_2,lamb1b - sv2ca,LAMININ,lamb1b,sv2ca,,,,,KEGG: mmu04512,ECM-Receptor
LAMB2_SV2C,lamb2 - sv2ca,LAMININ,lamb2,sv2ca,,,,,KEGG: mmu04512,ECM-Receptor
LAMC1_SV2C,lamc2 - sv2ca,LAMININ,lamc2,sv2ca,,,,,KEGG: mmu04512,ECM-Receptor
THBS1_CD36_1,thbs1b - cd36,THBS,thbs1b,cd36,,,,,KEGG: mmu04512,ECM-Receptor
THBS1_CD36_2,thbs1a - cd36,THBS,thbs1a,cd36,,,,,KEGG: mmu04512,ECM-Receptor
THBS2_CD36_1,thbs2b - cd36,THBS,thbs2b,cd36,,,,,KEGG: mmu04512,ECM-Receptor
THBS2_CD36_2,thbs2a - cd36,THBS,thbs2a,cd36,,,,,KEGG: mmu04512,ECM-Receptor
THBS3_CD36_1,thbs3a - cd36,THBS,thbs3a,cd36,,,,,KEGG: mmu04512,ECM-Receptor
THBS3_CD36_2,thbs3b - cd36,THBS,thbs3b,cd36,,,,,KEGG: mmu04512,ECM-Receptor
THBS4_CD36_1,thbs4b - cd36,THBS,thbs4b,cd36,,,,,KEGG: mmu04512,ECM-Receptor
THBS4_CD36_2,thbs4a - cd36,THBS,thbs4a,cd36,,,,,KEGG: mmu04512,ECM-Receptor
COMP_CD36,comp - cd36,THBS,comp,cd36,,,,,KEGG: mmu04512,ECM-Receptor
AGRN_DAG1,agrn - dag1,AGRN,agrn,dag1,,,,,KEGG: mmu04512,ECM-Receptor
HSPG2_DAG1,hspg2 - dag1,HSPG,hspg2,dag1,,,,,KEGG: mmu04512,ECM-Receptor
LAMA1_DAG1,lama1 - dag1,LAMININ,lama1,dag1,,,,,KEGG: mmu04512,ECM-Receptor
LAMA2_DAG1,lama2 - dag1,LAMININ,lama2,dag1,,,,,KEGG: mmu04512,ECM-Receptor
LAMA3_DAG1_1,lama3 - dag1,LAMININ,lama3,dag1,,,,,KEGG: mmu04512,ECM-Receptor
LAMA3_DAG1_2,si:ch211-241e1.3 - dag1,LAMININ,si:ch211-241e1.3,dag1,,,,,KEGG: mmu04512,ECM-Receptor
LAMA5_DAG1,lama5 - dag1,LAMININ,lama5,dag1,,,,,KEGG: mmu04512,ECM-Receptor
LAMB1_DAG1_1,lamb1a - dag1,LAMININ,lamb1a,dag1,,,,,KEGG: mmu04512,ECM-Receptor
LAMB1_DAG1_2,lamb1b - dag1,LAMININ,lamb1b,dag1,,,,,KEGG: mmu04512,ECM-Receptor
LAMB2_DAG1,lamb2 - dag1,LAMININ,lamb2,dag1,,,,,KEGG: mmu04512,ECM-Receptor
LAMC1_DAG1,lamc2 - dag1,LAMININ,lamc2,dag1,,,,,KEGG: mmu04512,ECM-Receptor
APP_CD74_1,appb - cd74a,APP,appb,cd74a,,,,,PMID: 19849849,Cell-Cell Contact
APP_CD74_2,appb - cd74b,APP,appb,cd74b,,,,,PMID: 19849849,Cell-Cell Contact
APP_CD74_3,appa - cd74a,APP,appa,cd74a,,,,,PMID: 19849849,Cell-Cell Contact
APP_CD74_4,appa - cd74b,APP,appa,cd74b,,,,,PMID: 19849849,Cell-Cell Contact
CADM1_CADM1_1,cadm1b - cadm1b,CADM,cadm1b,cadm1b,,,,,PMID: 24503895,Cell-Cell Contact
CADM1_CADM1_2,cadm1b - cadm1a,CADM,cadm1b,cadm1a,,,,,PMID: 24503895,Cell-Cell Contact
CADM1_CADM1_3,cadm1a - cadm1b,CADM,cadm1a,cadm1b,,,,,PMID: 24503895,Cell-Cell Contact
CADM1_CADM1_4,cadm1a - cadm1a,CADM,cadm1a,cadm1a,,,,,PMID: 24503895,Cell-Cell Contact
CADM3_CADM3,cadm3 - cadm3,CADM,cadm3,cadm3,,,,,KEGG: mmu04514,Cell-Cell Contact
CD226_NECTIN2_1,cd226 - pvrl2l,CD226,cd226,pvrl2l,,,,,PMID: 24440149,Cell-Cell Contact
CD226_NECTIN2_2,cd226 - zgc:113337,CD226,cd226,zgc:113337,,,,,PMID: 24440149,Cell-Cell Contact
CD226_NECTIN2_3,cd226 - si:ch73-22o12.1,CD226,cd226,si:ch73-22o12.1,,,,,PMID: 24440149,Cell-Cell Contact
CD226_NECTIN2_4,cd226 - zgc:172122,CD226,cd226,zgc:172122,,,,,PMID: 24440149,Cell-Cell Contact
CD226_NECTIN2_5,cd226 - sc:d189,CD226,cd226,sc:d189,,,,,PMID: 24440149,Cell-Cell Contact
CD226_PVR_1,cd226 - pvrl2l,CD226,cd226,pvrl2l,,,,,PMID: 24440149,Cell-Cell Contact
CD226_PVR_2,cd226 - si:ch211-222f23.6,CD226,cd226,si:ch211-222f23.6,,,,,PMID: 24440149,Cell-Cell Contact
CD226_PVR_3,cd226 - si:ch211-214p13.3,CD226,cd226,si:ch211-214p13.3,,,,,PMID: 24440149,Cell-Cell Contact
CD226_PVR_4,cd226 - zgc:113337,CD226,cd226,zgc:113337,,,,,PMID: 24440149,Cell-Cell Contact
CD226_PVR_5,cd226 - si:ch211-141e20.2,CD226,cd226,si:ch211-141e20.2,,,,,PMID: 24440149,Cell-Cell Contact
CD226_PVR_6,cd226 - si:ch73-22o12.1,CD226,cd226,si:ch73-22o12.1,,,,,PMID: 24440149,Cell-Cell Contact
CD226_PVR_7,cd226 - zgc:172122,CD226,cd226,zgc:172122,,,,,PMID: 24440149,Cell-Cell Contact
CD226_PVR_8,cd226 - sc:d189,CD226,cd226,sc:d189,,,,,PMID: 24440149,Cell-Cell Contact
FCER2A_CR2_1,si:cabz01007816.2 - csmd2,CD23,si:cabz01007816.2,csmd2,,,,,PMID: 16785534,Cell-Cell Contact
FCER2A_CR2_2,asgrl1 - csmd2,CD23,asgrl1,csmd2,,,,,PMID: 16785534,Cell-Cell Contact
FCER2A_CR2_3,asgrl2 - csmd2,CD23,asgrl2,csmd2,,,,,PMID: 16785534,Cell-Cell Contact
FCER2A_CR2_4,si:ch211-283g2.2 - csmd2,CD23,si:ch211-283g2.2,csmd2,,,,,PMID: 16785534,Cell-Cell Contact
FCER2A_CR2_5,si:ch211-283g2.3 - csmd2,CD23,si:ch211-283g2.3,csmd2,,,,,PMID: 16785534,Cell-Cell Contact
FCER2A_CR2_6,si:dkey-61f9.1 - csmd2,CD23,si:dkey-61f9.1,csmd2,,,,,PMID: 16785534,Cell-Cell Contact
CD34_SELP_1,si:dkey-261h17.1 - selp,CD34,si:dkey-261h17.1,selp,,,,,PMID: 18606703,Cell-Cell Contact
CD34_SELP_2,si:ch211-286o17.1 - selp,CD34,si:ch211-286o17.1,selp,,,,,PMID: 18606703,Cell-Cell Contact
ENTPD1_ADORA1_1,entpd1 - adora1a,CD39,entpd1,adora1a,,,,,PMID: 21677139,Cell-Cell Contact
ENTPD1_ADORA1_2,entpd1 - adora1b,CD39,entpd1,adora1b,,,,,PMID: 21677139,Cell-Cell Contact
ENTPD1_ADORA2A,entpd1 - adora2aa,CD39,entpd1,adora2aa,,,,,PMID: 21677139,Cell-Cell Contact
ENTPD1_ADORA2B,entpd1 - adora2b,CD39,entpd1,adora2b,,,,,PMID: 21677139,Cell-Cell Contact
CD48_CD244A_1,si:dkey-11f4.14 - si:ch211-209f23.6,CD48,si:dkey-11f4.14,si:ch211-209f23.6,,,,,PMID: 26697006,Cell-Cell Contact
CD48_CD244A_2,si:dkey-11f4.14 - si:dkey-53k12.1,CD48,si:dkey-11f4.14,si:dkey-53k12.1,,,,,PMID: 26697006,Cell-Cell Contact
CD96_NECTIN1_1,si:ch1073-15f19.2 - nectin1b,CD96,si:ch1073-15f19.2,nectin1b,,,,,PMID: 17971293,Cell-Cell Contact
CD96_NECTIN1_2,si:ch1073-15f19.2 - nectin1a,CD96,si:ch1073-15f19.2,nectin1a,,,,,PMID: 17971293,Cell-Cell Contact
CD96_PVR_1,si:ch1073-15f19.2 - pvrl2l,CD96,si:ch1073-15f19.2,pvrl2l,,,,,PMID: 15034010,Cell-Cell Contact
CD96_PVR_2,si:ch1073-15f19.2 - si:ch211-222f23.6,CD96,si:ch1073-15f19.2,si:ch211-222f23.6,,,,,PMID: 15034010,Cell-Cell Contact
CD96_PVR_3,si:ch1073-15f19.2 - si:ch211-214p13.3,CD96,si:ch1073-15f19.2,si:ch211-214p13.3,,,,,PMID: 15034010,Cell-Cell Contact
CD96_PVR_4,si:ch1073-15f19.2 - zgc:113337,CD96,si:ch1073-15f19.2,zgc:113337,,,,,PMID: 15034010,Cell-Cell Contact
CD96_PVR_5,si:ch1073-15f19.2 - si:ch211-141e20.2,CD96,si:ch1073-15f19.2,si:ch211-141e20.2,,,,,PMID: 15034010,Cell-Cell Contact
CD96_PVR_6,si:ch1073-15f19.2 - si:ch73-22o12.1,CD96,si:ch1073-15f19.2,si:ch73-22o12.1,,,,,PMID: 15034010,Cell-Cell Contact
CD96_PVR_7,si:ch1073-15f19.2 - zgc:172122,CD96,si:ch1073-15f19.2,zgc:172122,,,,,PMID: 15034010,Cell-Cell Contact
CD96_PVR_8,si:ch1073-15f19.2 - sc:d189,CD96,si:ch1073-15f19.2,sc:d189,,,,,PMID: 15034010,Cell-Cell Contact
CDH15_CDH15,cdh15 - cdh15,CDH,cdh15,cdh15,,,,,KEGG: mmu04514,Cell-Cell Contact
CDH4_CDH4,cdh4 - cdh4,CDH,cdh4,cdh4,,,,,KEGG: mmu04514,Cell-Cell Contact
CDH2_CDH2,cdh2 - cdh2,CDH,cdh2,cdh2,,,,,KEGG: mmu04514,Cell-Cell Contact
CDH1_CDH1,si:dkey-30c15.12 - si:dkey-30c15.12,CDH,si:dkey-30c15.12,si:dkey-30c15.12,,,,,KEGG: mmu04514,Cell-Cell Contact
CLDN11_CLDN11_1,cldn11b - cldn11b,CLDN,cldn11b,cldn11b,,,,,KEGG: mmu04514,Cell-Cell Contact
CLDN11_CLDN11_2,cldn11b - cldn11a,CLDN,cldn11b,cldn11a,,,,,KEGG: mmu04514,Cell-Cell Contact
CLDN11_CLDN11_3,cldn11a - cldn11b,CLDN,cldn11a,cldn11b,,,,,KEGG: mmu04514,Cell-Cell Contact
CLDN11_CLDN11_4,cldn11a - cldn11a,CLDN,cldn11a,cldn11a,,,,,KEGG: mmu04514,Cell-Cell Contact
CLEC2D_KLRB1B_1,si:ch211-193e13.5 - si:ch211-193e13.5,CLEC,si:ch211-193e13.5,si:ch211-193e13.5,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2D_KLRB1B_2,si:ch211-193e13.5 - si:ch211-170d8.8,CLEC,si:ch211-193e13.5,si:ch211-170d8.8,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2D_KLRB1B_3,si:ch211-193e13.5 - si:dkey-26c10.5,CLEC,si:ch211-193e13.5,si:dkey-26c10.5,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2D_KLRB1B_4,si:ch211-170d8.8 - si:ch211-193e13.5,CLEC,si:ch211-170d8.8,si:ch211-193e13.5,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2D_KLRB1B_5,si:ch211-170d8.8 - si:ch211-170d8.8,CLEC,si:ch211-170d8.8,si:ch211-170d8.8,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2D_KLRB1B_6,si:ch211-170d8.8 - si:dkey-26c10.5,CLEC,si:ch211-170d8.8,si:dkey-26c10.5,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2D_KLRB1B_7,si:dkey-26c10.5 - si:ch211-193e13.5,CLEC,si:dkey-26c10.5,si:ch211-193e13.5,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2D_KLRB1B_8,si:dkey-26c10.5 - si:ch211-170d8.8,CLEC,si:dkey-26c10.5,si:ch211-170d8.8,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2D_KLRB1B_9,si:dkey-26c10.5 - si:dkey-26c10.5,CLEC,si:dkey-26c10.5,si:dkey-26c10.5,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2G_KLRB1_1,si:ch211-193e13.5 - si:ch211-193e13.5,CLEC,si:ch211-193e13.5,si:ch211-193e13.5,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2G_KLRB1_2,si:ch211-193e13.5 - si:ch211-170d8.8,CLEC,si:ch211-193e13.5,si:ch211-170d8.8,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2G_KLRB1_3,si:ch211-193e13.5 - si:dkey-26c10.5,CLEC,si:ch211-193e13.5,si:dkey-26c10.5,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2G_KLRB1_4,si:ch211-170d8.8 - si:ch211-193e13.5,CLEC,si:ch211-170d8.8,si:ch211-193e13.5,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2G_KLRB1_5,si:ch211-170d8.8 - si:ch211-170d8.8,CLEC,si:ch211-170d8.8,si:ch211-170d8.8,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2G_KLRB1_6,si:ch211-170d8.8 - si:dkey-26c10.5,CLEC,si:ch211-170d8.8,si:dkey-26c10.5,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2G_KLRB1_7,si:dkey-26c10.5 - si:ch211-193e13.5,CLEC,si:dkey-26c10.5,si:ch211-193e13.5,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2G_KLRB1_8,si:dkey-26c10.5 - si:ch211-170d8.8,CLEC,si:dkey-26c10.5,si:ch211-170d8.8,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2G_KLRB1_9,si:dkey-26c10.5 - si:dkey-26c10.5,CLEC,si:dkey-26c10.5,si:dkey-26c10.5,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2H_KLRB1_1,si:ch211-193e13.5 - si:ch211-193e13.5,CLEC,si:ch211-193e13.5,si:ch211-193e13.5,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2H_KLRB1_2,si:ch211-193e13.5 - si:ch211-170d8.8,CLEC,si:ch211-193e13.5,si:ch211-170d8.8,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2H_KLRB1_3,si:ch211-193e13.5 - si:dkey-26c10.5,CLEC,si:ch211-193e13.5,si:dkey-26c10.5,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2H_KLRB1_4,si:ch211-170d8.8 - si:ch211-193e13.5,CLEC,si:ch211-170d8.8,si:ch211-193e13.5,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2H_KLRB1_5,si:ch211-170d8.8 - si:ch211-170d8.8,CLEC,si:ch211-170d8.8,si:ch211-170d8.8,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2H_KLRB1_6,si:ch211-170d8.8 - si:dkey-26c10.5,CLEC,si:ch211-170d8.8,si:dkey-26c10.5,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2H_KLRB1_7,si:dkey-26c10.5 - si:ch211-193e13.5,CLEC,si:dkey-26c10.5,si:ch211-193e13.5,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2H_KLRB1_8,si:dkey-26c10.5 - si:ch211-170d8.8,CLEC,si:dkey-26c10.5,si:ch211-170d8.8,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2H_KLRB1_9,si:dkey-26c10.5 - si:dkey-26c10.5,CLEC,si:dkey-26c10.5,si:dkey-26c10.5,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2I_KLRB1_1,si:ch211-193e13.5 - si:ch211-193e13.5,CLEC,si:ch211-193e13.5,si:ch211-193e13.5,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2I_KLRB1_2,si:ch211-193e13.5 - si:ch211-170d8.8,CLEC,si:ch211-193e13.5,si:ch211-170d8.8,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2I_KLRB1_3,si:ch211-193e13.5 - si:dkey-26c10.5,CLEC,si:ch211-193e13.5,si:dkey-26c10.5,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2I_KLRB1_4,si:ch211-170d8.8 - si:ch211-193e13.5,CLEC,si:ch211-170d8.8,si:ch211-193e13.5,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2I_KLRB1_5,si:ch211-170d8.8 - si:ch211-170d8.8,CLEC,si:ch211-170d8.8,si:ch211-170d8.8,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2I_KLRB1_6,si:ch211-170d8.8 - si:dkey-26c10.5,CLEC,si:ch211-170d8.8,si:dkey-26c10.5,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2I_KLRB1_7,si:dkey-26c10.5 - si:ch211-193e13.5,CLEC,si:dkey-26c10.5,si:ch211-193e13.5,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2I_KLRB1_8,si:dkey-26c10.5 - si:ch211-170d8.8,CLEC,si:dkey-26c10.5,si:ch211-170d8.8,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2I_KLRB1_9,si:dkey-26c10.5 - si:dkey-26c10.5,CLEC,si:dkey-26c10.5,si:dkey-26c10.5,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2F_KLRB1F_1,si:ch211-193e13.5 - si:ch211-193e13.5,CLEC,si:ch211-193e13.5,si:ch211-193e13.5,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2F_KLRB1F_2,si:ch211-193e13.5 - si:ch211-170d8.8,CLEC,si:ch211-193e13.5,si:ch211-170d8.8,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2F_KLRB1F_3,si:ch211-193e13.5 - si:dkey-26c10.5,CLEC,si:ch211-193e13.5,si:dkey-26c10.5,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2F_KLRB1F_4,si:ch211-170d8.8 - si:ch211-193e13.5,CLEC,si:ch211-170d8.8,si:ch211-193e13.5,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2F_KLRB1F_5,si:ch211-170d8.8 - si:ch211-170d8.8,CLEC,si:ch211-170d8.8,si:ch211-170d8.8,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2F_KLRB1F_6,si:ch211-170d8.8 - si:dkey-26c10.5,CLEC,si:ch211-170d8.8,si:dkey-26c10.5,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2F_KLRB1F_7,si:dkey-26c10.5 - si:ch211-193e13.5,CLEC,si:dkey-26c10.5,si:ch211-193e13.5,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2F_KLRB1F_8,si:dkey-26c10.5 - si:ch211-170d8.8,CLEC,si:dkey-26c10.5,si:ch211-170d8.8,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2F_KLRB1F_9,si:dkey-26c10.5 - si:dkey-26c10.5,CLEC,si:dkey-26c10.5,si:dkey-26c10.5,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2G_KLRB1F_1,si:ch211-193e13.5 - si:ch211-193e13.5,CLEC,si:ch211-193e13.5,si:ch211-193e13.5,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2G_KLRB1F_2,si:ch211-193e13.5 - si:ch211-170d8.8,CLEC,si:ch211-193e13.5,si:ch211-170d8.8,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2G_KLRB1F_3,si:ch211-193e13.5 - si:dkey-26c10.5,CLEC,si:ch211-193e13.5,si:dkey-26c10.5,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2G_KLRB1F_4,si:ch211-170d8.8 - si:ch211-193e13.5,CLEC,si:ch211-170d8.8,si:ch211-193e13.5,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2G_KLRB1F_5,si:ch211-170d8.8 - si:ch211-170d8.8,CLEC,si:ch211-170d8.8,si:ch211-170d8.8,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2G_KLRB1F_6,si:ch211-170d8.8 - si:dkey-26c10.5,CLEC,si:ch211-170d8.8,si:dkey-26c10.5,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2G_KLRB1F_7,si:dkey-26c10.5 - si:ch211-193e13.5,CLEC,si:dkey-26c10.5,si:ch211-193e13.5,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2G_KLRB1F_8,si:dkey-26c10.5 - si:ch211-170d8.8,CLEC,si:dkey-26c10.5,si:ch211-170d8.8,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2G_KLRB1F_9,si:dkey-26c10.5 - si:dkey-26c10.5,CLEC,si:dkey-26c10.5,si:dkey-26c10.5,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2I_KLRB1F_1,si:ch211-193e13.5 - si:ch211-193e13.5,CLEC,si:ch211-193e13.5,si:ch211-193e13.5,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2I_KLRB1F_2,si:ch211-193e13.5 - si:ch211-170d8.8,CLEC,si:ch211-193e13.5,si:ch211-170d8.8,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2I_KLRB1F_3,si:ch211-193e13.5 - si:dkey-26c10.5,CLEC,si:ch211-193e13.5,si:dkey-26c10.5,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2I_KLRB1F_4,si:ch211-170d8.8 - si:ch211-193e13.5,CLEC,si:ch211-170d8.8,si:ch211-193e13.5,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2I_KLRB1F_5,si:ch211-170d8.8 - si:ch211-170d8.8,CLEC,si:ch211-170d8.8,si:ch211-170d8.8,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2I_KLRB1F_6,si:ch211-170d8.8 - si:dkey-26c10.5,CLEC,si:ch211-170d8.8,si:dkey-26c10.5,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2I_KLRB1F_7,si:dkey-26c10.5 - si:ch211-193e13.5,CLEC,si:dkey-26c10.5,si:ch211-193e13.5,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2I_KLRB1F_8,si:dkey-26c10.5 - si:ch211-170d8.8,CLEC,si:dkey-26c10.5,si:ch211-170d8.8,,,,,PMID: 24223577,Cell-Cell Contact
CLEC2I_KLRB1F_9,si:dkey-26c10.5 - si:dkey-26c10.5,CLEC,si:dkey-26c10.5,si:dkey-26c10.5,,,,,PMID: 24223577,Cell-Cell Contact
CNTN2_L1CAM,robo4 - l1cama,CNTN,robo4,l1cama,,,,,KEGG: mmu04514,Cell-Cell Contact
CNTN2_CNTN2,robo4 - robo4,CNTN,robo4,robo4,,,,,KEGG: mmu04514,Cell-Cell Contact
CNTN1_NRCAM_1,cntn1b - nrcama,CNTN,cntn1b,nrcama,,,,,KEGG: mmu04514,Cell-Cell Contact
CNTN1_NRCAM_2,cntn1a - nrcama,CNTN,cntn1a,nrcama,,,,,KEGG: mmu04514,Cell-Cell Contact
DSC1_DSG1C,dsc2l - si:ch73-74h11.1,DESMOSOME,dsc2l,si:ch73-74h11.1,,,,,PMID: 27298358,Cell-Cell Contact
DSC1_DSG2,dsc2l - si:ch73-74h11.1,DESMOSOME,dsc2l,si:ch73-74h11.1,,,,,PMID: 27298358,Cell-Cell Contact
DSC2_DSG1C,dsc2l - si:ch73-74h11.1,DESMOSOME,dsc2l,si:ch73-74h11.1,,,,,PMID: 27298358,Cell-Cell Contact
DSC2_DSG2,dsc2l - si:ch73-74h11.1,DESMOSOME,dsc2l,si:ch73-74h11.1,,,,,PMID: 27298358,Cell-Cell Contact
DSG1C_DSC3,si:ch73-74h11.1 - dsc2l,DESMOSOME,si:ch73-74h11.1,dsc2l,,,,,PMID: 27298358,Cell-Cell Contact
DSG2_DSC3,si:ch73-74h11.1 - dsc2l,DESMOSOME,si:ch73-74h11.1,dsc2l,,,,,PMID: 27298358,Cell-Cell Contact
EFNA1_EPHA3_1,efna1a - epha3,EPHA,efna1a,epha3,,,,,PMID: 15114347,Cell-Cell Contact
EFNA1_EPHA3_2,efna1b - epha3,EPHA,efna1b,epha3,,,,,PMID: 15114347,Cell-Cell Contact
EFNA1_EPHA4_1,efna1a - epha4a,EPHA,efna1a,epha4a,,,,,PMID: 15114347,Cell-Cell Contact
EFNA1_EPHA4_2,efna1a - epha4l,EPHA,efna1a,epha4l,,,,,PMID: 15114347,Cell-Cell Contact
EFNA1_EPHA4_3,efna1b - epha4a,EPHA,efna1b,epha4a,,,,,PMID: 15114347,Cell-Cell Contact
EFNA1_EPHA4_4,efna1b - epha4l,EPHA,efna1b,epha4l,,,,,PMID: 15114347,Cell-Cell Contact
EFNA2_EPHA3_1,efna2a - epha3,EPHA,efna2a,epha3,,,,,PMID: 15114347,Cell-Cell Contact
EFNA2_EPHA3_2,efna2b - epha3,EPHA,efna2b,epha3,,,,,PMID: 15114347,Cell-Cell Contact
EFNA2_EPHA4_1,efna2a - epha4a,EPHA,efna2a,epha4a,,,,,PMID: 15114347,Cell-Cell Contact
EFNA2_EPHA4_2,efna2a - epha4l,EPHA,efna2a,epha4l,,,,,PMID: 15114347,Cell-Cell Contact
EFNA2_EPHA4_3,efna2b - epha4a,EPHA,efna2b,epha4a,,,,,PMID: 15114347,Cell-Cell Contact
EFNA2_EPHA4_4,efna2b - epha4l,EPHA,efna2b,epha4l,,,,,PMID: 15114347,Cell-Cell Contact
EFNA3_EPHA3,efna3b - epha3,EPHA,efna3b,epha3,,,,,PMID: 15114347,Cell-Cell Contact
EFNA3_EPHA4_1,efna3b - epha4a,EPHA,efna3b,epha4a,,,,,PMID: 15114347,Cell-Cell Contact
EFNA3_EPHA4_2,efna3b - epha4l,EPHA,efna3b,epha4l,,,,,PMID: 15114347,Cell-Cell Contact
EFNA5_EPHA3_1,efna5a - epha3,EPHA,efna5a,epha3,,,,,PMID: 15114347,Cell-Cell Contact
EFNA5_EPHA3_2,efna5b - epha3,EPHA,efna5b,epha3,,,,,PMID: 15114347,Cell-Cell Contact
EFNA5_EPHA4_1,efna5a - epha4a,EPHA,efna5a,epha4a,,,,,PMID: 15114347,Cell-Cell Contact
EFNA5_EPHA4_2,efna5a - epha4l,EPHA,efna5a,epha4l,,,,,PMID: 15114347,Cell-Cell Contact
EFNA5_EPHA4_3,efna5b - epha4a,EPHA,efna5b,epha4a,,,,,PMID: 15114347,Cell-Cell Contact
EFNA5_EPHA4_4,efna5b - epha4l,EPHA,efna5b,epha4l,,,,,PMID: 15114347,Cell-Cell Contact
EFNA5_EPHB2_1,efna5a - ephb2b,EPHA,efna5a,ephb2b,,,,,PMID:15107857; PMID: 15114347,Cell-Cell Contact
EFNA5_EPHB2_2,efna5a - ephb2a,EPHA,efna5a,ephb2a,,,,,PMID:15107857; PMID: 15114347,Cell-Cell Contact
EFNA5_EPHB2_3,efna5b - ephb2b,EPHA,efna5b,ephb2b,,,,,PMID:15107857; PMID: 15114347,Cell-Cell Contact
EFNA5_EPHB2_4,efna5b - ephb2a,EPHA,efna5b,ephb2a,,,,,PMID:15107857; PMID: 15114347,Cell-Cell Contact
