,interaction_name,pathway_name,ligand,receptor,agonist,antagonist,co_A_receptor,co_I_receptor,evidence,annotation
WNT10B_FZD5_LRP6,Wnt10b  - (Fzd5+Lrp6),WNT,Wnt10b,FZD5_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT10B_FZD6_LRP6,Wnt10b  - (Fzd6+Lrp6),WNT,Wnt10b,FZD6_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT10B_FZD7_LRP6,Wnt10b  - (Fzd7+Lrp6),WNT,Wnt10b,FZD7_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT10B_FZD8_LRP6,Wnt10b  - (Fzd8+Lrp6),WNT,Wnt10b,FZD8_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT10B_FZD9_LRP6,Wnt10b  - (Fzd9+Lrp6),WNT,Wnt10b,FZD9_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT16_FZD1_LRP6,Wnt16  - (Fzd1+Lrp6),WNT,Wnt16,FZD1_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT16_FZD10_LRP6,Wnt16  - (Fzd10+Lrp6),WNT,Wnt16,FZD10_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT16_FZD2_LRP6,Wnt16  - (Fzd2+Lrp6),WNT,Wnt16,FZD2_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT16_FZD3_LRP6,Wnt16  - (Fzd3+Lrp6),WNT,Wnt16,FZD3_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT16_FZD4_LRP6,Wnt16  - (Fzd4+Lrp6),WNT,Wnt16,FZD4_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT16_FZD5_LRP6,Wnt16  - (Fzd5+Lrp6),WNT,Wnt16,FZD5_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT16_FZD6_LRP6,Wnt16  - (Fzd6+Lrp6),WNT,Wnt16,FZD6_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT16_FZD7_LRP6,Wnt16  - (Fzd7+Lrp6),WNT,Wnt16,FZD7_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT16_FZD8_LRP6,Wnt16  - (Fzd8+Lrp6),WNT,Wnt16,FZD8_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT16_FZD9_LRP6,Wnt16  - (Fzd9+Lrp6),WNT,Wnt16,FZD9_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT2_FZD1_LRP6,Wnt2  - (Fzd1+Lrp6),WNT,Wnt2,FZD1_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT2_FZD10_LRP6,Wnt2  - (Fzd10+Lrp6),WNT,Wnt2,FZD10_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT2_FZD2_LRP6,Wnt2  - (Fzd2+Lrp6),WNT,Wnt2,FZD2_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT2_FZD3_LRP6,Wnt2  - (Fzd3+Lrp6),WNT,Wnt2,FZD3_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT2_FZD4_LRP6,Wnt2  - (Fzd4+Lrp6),WNT,Wnt2,FZD4_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT2_FZD5_LRP6,Wnt2  - (Fzd5+Lrp6),WNT,Wnt2,FZD5_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT2_FZD6_LRP6,Wnt2  - (Fzd6+Lrp6),WNT,Wnt2,FZD6_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT2_FZD7_LRP6,Wnt2  - (Fzd7+Lrp6),WNT,Wnt2,FZD7_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT2_FZD8_LRP6,Wnt2  - (Fzd8+Lrp6),WNT,Wnt2,FZD8_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT2_FZD9_LRP6,Wnt2  - (Fzd9+Lrp6),WNT,Wnt2,FZD9_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT2B_FZD1_LRP6,Wnt2b  - (Fzd1+Lrp6),WNT,Wnt2b,FZD1_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT2B_FZD10_LRP6,Wnt2b  - (Fzd10+Lrp6),WNT,Wnt2b,FZD10_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT2B_FZD2_LRP6,Wnt2b  - (Fzd2+Lrp6),WNT,Wnt2b,FZD2_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT2B_FZD3_LRP6,Wnt2b  - (Fzd3+Lrp6),WNT,Wnt2b,FZD3_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT2B_FZD4_LRP6,Wnt2b  - (Fzd4+Lrp6),WNT,Wnt2b,FZD4_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT2B_FZD5_LRP6,Wnt2b  - (Fzd5+Lrp6),WNT,Wnt2b,FZD5_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT2B_FZD6_LRP6,Wnt2b  - (Fzd6+Lrp6),WNT,Wnt2b,FZD6_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT2B_FZD7_LRP6,Wnt2b  - (Fzd7+Lrp6),WNT,Wnt2b,FZD7_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT2B_FZD8_LRP6,Wnt2b  - (Fzd8+Lrp6),WNT,Wnt2b,FZD8_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT2B_FZD9_LRP6,Wnt2b  - (Fzd9+Lrp6),WNT,Wnt2b,FZD9_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT3_FZD1_LRP6,Wnt3  - (Fzd1+Lrp6),WNT,Wnt3,FZD1_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT3_FZD10_LRP6,Wnt3  - (Fzd10+Lrp6),WNT,Wnt3,FZD10_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT3_FZD2_LRP6,Wnt3  - (Fzd2+Lrp6),WNT,Wnt3,FZD2_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT3_FZD3_LRP6,Wnt3  - (Fzd3+Lrp6),WNT,Wnt3,FZD3_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT3_FZD4_LRP6,Wnt3  - (Fzd4+Lrp6),WNT,Wnt3,FZD4_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT3_FZD5_LRP6,Wnt3  - (Fzd5+Lrp6),WNT,Wnt3,FZD5_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT3_FZD6_LRP6,Wnt3  - (Fzd6+Lrp6),WNT,Wnt3,FZD6_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT3_FZD7_LRP6,Wnt3  - (Fzd7+Lrp6),WNT,Wnt3,FZD7_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT3_FZD8_LRP6,Wnt3  - (Fzd8+Lrp6),WNT,Wnt3,FZD8_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT3_FZD9_LRP6,Wnt3  - (Fzd9+Lrp6),WNT,Wnt3,FZD9_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT3A_FZD1_LRP6,Wnt3a  - (Fzd1+Lrp6),WNT,Wnt3a,FZD1_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT3A_FZD10_LRP6,Wnt3a  - (Fzd10+Lrp6),WNT,Wnt3a,FZD10_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT3A_FZD2_LRP6,Wnt3a  - (Fzd2+Lrp6),WNT,Wnt3a,FZD2_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT3A_FZD3_LRP6,Wnt3a  - (Fzd3+Lrp6),WNT,Wnt3a,FZD3_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT3A_FZD4_LRP6,Wnt3a  - (Fzd4+Lrp6),WNT,Wnt3a,FZD4_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT3A_FZD5_LRP6,Wnt3a  - (Fzd5+Lrp6),WNT,Wnt3a,FZD5_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT3A_FZD6_LRP6,Wnt3a  - (Fzd6+Lrp6),WNT,Wnt3a,FZD6_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT3A_FZD7_LRP6,Wnt3a  - (Fzd7+Lrp6),WNT,Wnt3a,FZD7_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT3A_FZD8_LRP6,Wnt3a  - (Fzd8+Lrp6),WNT,Wnt3a,FZD8_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT3A_FZD9_LRP6,Wnt3a  - (Fzd9+Lrp6),WNT,Wnt3a,FZD9_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT4_FZD1_LRP6,Wnt4  - (Fzd1+Lrp6),WNT,Wnt4,FZD1_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT4_FZD10_LRP6,Wnt4  - (Fzd10+Lrp6),WNT,Wnt4,FZD10_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT4_FZD2_LRP6,Wnt4  - (Fzd2+Lrp6),WNT,Wnt4,FZD2_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT4_FZD3_LRP6,Wnt4  - (Fzd3+Lrp6),WNT,Wnt4,FZD3_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT4_FZD4_LRP6,Wnt4  - (Fzd4+Lrp6),WNT,Wnt4,FZD4_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT4_FZD5_LRP6,Wnt4  - (Fzd5+Lrp6),WNT,Wnt4,FZD5_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT4_FZD6_LRP6,Wnt4  - (Fzd6+Lrp6),WNT,Wnt4,FZD6_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT4_FZD7_LRP6,Wnt4  - (Fzd7+Lrp6),WNT,Wnt4,FZD7_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT4_FZD8_LRP6,Wnt4  - (Fzd8+Lrp6),WNT,Wnt4,FZD8_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT4_FZD9_LRP6,Wnt4  - (Fzd9+Lrp6),WNT,Wnt4,FZD9_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT6_FZD1_LRP6,Wnt6  - (Fzd1+Lrp6),WNT,Wnt6,FZD1_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT6_FZD10_LRP6,Wnt6  - (Fzd10+Lrp6),WNT,Wnt6,FZD10_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT6_FZD2_LRP6,Wnt6  - (Fzd2+Lrp6),WNT,Wnt6,FZD2_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT6_FZD3_LRP6,Wnt6  - (Fzd3+Lrp6),WNT,Wnt6,FZD3_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT6_FZD4_LRP6,Wnt6  - (Fzd4+Lrp6),WNT,Wnt6,FZD4_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT6_FZD5_LRP6,Wnt6  - (Fzd5+Lrp6),WNT,Wnt6,FZD5_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT6_FZD6_LRP6,Wnt6  - (Fzd6+Lrp6),WNT,Wnt6,FZD6_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT6_FZD7_LRP6,Wnt6  - (Fzd7+Lrp6),WNT,Wnt6,FZD7_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT6_FZD8_LRP6,Wnt6  - (Fzd8+Lrp6),WNT,Wnt6,FZD8_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT6_FZD9_LRP6,Wnt6  - (Fzd9+Lrp6),WNT,Wnt6,FZD9_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT7A_FZD1_LRP6,Wnt7a  - (Fzd1+Lrp6),WNT,Wnt7a,FZD1_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT7A_FZD10_LRP6,Wnt7a  - (Fzd10+Lrp6),WNT,Wnt7a,FZD10_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT7A_FZD2_LRP6,Wnt7a  - (Fzd2+Lrp6),WNT,Wnt7a,FZD2_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT7A_FZD3_LRP6,Wnt7a  - (Fzd3+Lrp6),WNT,Wnt7a,FZD3_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT7A_FZD4_LRP6,Wnt7a  - (Fzd4+Lrp6),WNT,Wnt7a,FZD4_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT7A_FZD5_LRP6,Wnt7a  - (Fzd5+Lrp6),WNT,Wnt7a,FZD5_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT7A_FZD6_LRP6,Wnt7a  - (Fzd6+Lrp6),WNT,Wnt7a,FZD6_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT7A_FZD7_LRP6,Wnt7a  - (Fzd7+Lrp6),WNT,Wnt7a,FZD7_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT7A_FZD8_LRP6,Wnt7a  - (Fzd8+Lrp6),WNT,Wnt7a,FZD8_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT7A_FZD9_LRP6,Wnt7a  - (Fzd9+Lrp6),WNT,Wnt7a,FZD9_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT7B_FZD1_LRP6,Wnt7b  - (Fzd1+Lrp6),WNT,Wnt7b,FZD1_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT7B_FZD10_LRP6,Wnt7b  - (Fzd10+Lrp6),WNT,Wnt7b,FZD10_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT7B_FZD2_LRP6,Wnt7b  - (Fzd2+Lrp6),WNT,Wnt7b,FZD2_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT7B_FZD3_LRP6,Wnt7b  - (Fzd3+Lrp6),WNT,Wnt7b,FZD3_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT7B_FZD4_LRP6,Wnt7b  - (Fzd4+Lrp6),WNT,Wnt7b,FZD4_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT7B_FZD5_LRP6,Wnt7b  - (Fzd5+Lrp6),WNT,Wnt7b,FZD5_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT7B_FZD6_LRP6,Wnt7b  - (Fzd6+Lrp6),WNT,Wnt7b,FZD6_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT7B_FZD7_LRP6,Wnt7b  - (Fzd7+Lrp6),WNT,Wnt7b,FZD7_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT7B_FZD8_LRP6,Wnt7b  - (Fzd8+Lrp6),WNT,Wnt7b,FZD8_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT7B_FZD9_LRP6,Wnt7b  - (Fzd9+Lrp6),WNT,Wnt7b,FZD9_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT8A_FZD1_LRP6,Wnt8a  - (Fzd1+Lrp6),WNT,Wnt8a,FZD1_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT8A_FZD10_LRP6,Wnt8a  - (Fzd10+Lrp6),WNT,Wnt8a,FZD10_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT8A_FZD2_LRP6,Wnt8a  - (Fzd2+Lrp6),WNT,Wnt8a,FZD2_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT8A_FZD3_LRP6,Wnt8a  - (Fzd3+Lrp6),WNT,Wnt8a,FZD3_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT8A_FZD4_LRP6,Wnt8a  - (Fzd4+Lrp6),WNT,Wnt8a,FZD4_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT8A_FZD5_LRP6,Wnt8a  - (Fzd5+Lrp6),WNT,Wnt8a,FZD5_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT8A_FZD6_LRP6,Wnt8a  - (Fzd6+Lrp6),WNT,Wnt8a,FZD6_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT8A_FZD7_LRP6,Wnt8a  - (Fzd7+Lrp6),WNT,Wnt8a,FZD7_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT8A_FZD8_LRP6,Wnt8a  - (Fzd8+Lrp6),WNT,Wnt8a,FZD8_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT8A_FZD9_LRP6,Wnt8a  - (Fzd9+Lrp6),WNT,Wnt8a,FZD9_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT8B_FZD1_LRP6,Wnt8b  - (Fzd1+Lrp6),WNT,Wnt8b,FZD1_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT8B_FZD10_LRP6,Wnt8b  - (Fzd10+Lrp6),WNT,Wnt8b,FZD10_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT8B_FZD2_LRP6,Wnt8b  - (Fzd2+Lrp6),WNT,Wnt8b,FZD2_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT8B_FZD3_LRP6,Wnt8b  - (Fzd3+Lrp6),WNT,Wnt8b,FZD3_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT8B_FZD4_LRP6,Wnt8b  - (Fzd4+Lrp6),WNT,Wnt8b,FZD4_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT8B_FZD5_LRP6,Wnt8b  - (Fzd5+Lrp6),WNT,Wnt8b,FZD5_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT8B_FZD6_LRP6,Wnt8b  - (Fzd6+Lrp6),WNT,Wnt8b,FZD6_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT8B_FZD7_LRP6,Wnt8b  - (Fzd7+Lrp6),WNT,Wnt8b,FZD7_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT8B_FZD8_LRP6,Wnt8b  - (Fzd8+Lrp6),WNT,Wnt8b,FZD8_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
WNT8B_FZD9_LRP6,Wnt8b  - (Fzd9+Lrp6),WNT,Wnt8b,FZD9_LRP6,WNT agonist,WNT antagonist,WNT activation receptor,WNT inhibition receptor,KEGG: mmu04310; PMID: 23209147,Secreted Signaling
